,dataset,auroc,accuracy,balanced_accuracy,f1_score,prec,rec,auprc,auroc_y_no_noise,accuracy_y_no_noise,balanced_accuracy_y_no_noise,f1_score_y_no_noise,prec_y_no_noise,rec_y_no_noise,auprc_y_no_noise,run,automl,exp_name,y_preds,y_proba,y_des
0,digen8_4426,0.9938880029616256,0.9663,0.9661591470845237,0.9675180722891565,[0.69623149 0.6961906  0.69628433 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806689e-01 9.99806689e-01 ... 3.86622849e-04
 1.93311425e-04 0.00000000e+00]",0.9941449599607388,0.9938880029616256,0.9663,0.9661591470845237,0.9675180722891565,[0.69623149 0.6961906  0.69628433 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806689e-01 9.99806689e-01 ... 3.86622849e-04
 1.93311425e-04 0.00000000e+00]",0.9941449599607388,0,autosklearn2,autosklearn2_1200s,[0 1 1 ... 1 1 0],[0.00415868 0.99934721 0.99558639 ... 0.9978312  0.99983597 0.00363435],[0.00415868 0.99934721 0.99558639 ... 0.9978312  0.99983597 0.00363435]
1,digen32_5191,0.9987573175643424,0.9805,0.9805051417900779,0.980544747081712,[0.80144462 0.80141275 0.80154143 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799720e-01 9.99799720e-01 ... 4.00560785e-04
 2.00280393e-04 0.00000000e+00]",0.9987728270339092,0.9987573175643424,0.9805,0.9805051417900779,0.980544747081712,[0.80144462 0.80141275 0.80154143 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799720e-01 9.99799720e-01 ... 4.00560785e-04
 2.00280393e-04 0.00000000e+00]",0.9987728270339092,0,autosklearn2,autosklearn2_1200s,[0 0 0 ... 1 1 0],[0.01780426 0.04709447 0.00780939 ... 0.70510961 0.61242052 0.01015153],[0.01780426 0.04709447 0.00780939 ... 0.70510961 0.61242052 0.01015153]
2,digen39_5578,0.9944837964696298,0.9628,0.9627953361890151,0.9625528488020937,[0.50342604 0.503376   0.50342673 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799840e-01 9.99799840e-01 ... 4.00320256e-04
 2.00160128e-04 0.00000000e+00]",0.995021390148749,0.9956019204172838,0.9639,0.9638855749701747,0.9636198730222714,[0.80273752 0.80270575 0.80283505 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799398e-01 9.99799398e-01 ... 4.01203611e-04
 2.00601805e-04 0.00000000e+00]",0.9956890780838875,0,autosklearn2,autosklearn2_1200s,[0 1 1 ... 1 0 1],[0.08889511 0.81352047 0.82466498 ... 0.98138892 0.00149628 0.99863591],[0.08889511 0.81352047 0.82466498 ... 0.98138892 0.00149628 0.99863591]
3,digen36_466,0.9605515430251821,0.9257,0.9273771824004075,0.9290149995223083,[0.5388627  0.53881645 0.5388705  ... 1.         1.         1.        ],"[1.00000000e+00 9.99813884e-01 9.99813884e-01 ... 3.72231528e-04
 1.86115764e-04 0.00000000e+00]",0.9758908828598074,0.9939479821273567,0.9568,0.9567600433615611,0.9573291189253259,[0.75947456 0.75943824 0.75955294 ... 1.         1.         1.        ],"[1.00000000e+00 9.99801193e-01 9.99801193e-01 ... 3.97614314e-04
 1.98807157e-04 0.00000000e+00]",0.9941668695170722,0,autosklearn2,autosklearn2_1200s,[0 1 0 ... 0 0 1],[0.31594277 0.99256038 0.05135128 ... 0.11811532 0.04076749 0.98536682],[0.31594277 0.99256038 0.05135128 ... 0.11811532 0.04076749 0.98536682]
4,digen13_769,0.9454267360906099,0.8853,0.8858458816477212,0.8857228255454817,[0.5135     0.51345135 0.5135027  ... 1.         1.         1.        ],"[1.00000000e+00 9.99805258e-01 9.99805258e-01 ... 3.89483934e-04
 1.94741967e-04 0.00000000e+00]",0.9515513208390144,0.9543333883616046,0.8931,0.8931643846734572,0.8923355826367207,[0.51585428 0.5158046  0.51585754 ... 1.         1.         1.        ],"[1.00000000e+00 9.99801074e-01 9.99801074e-01 ... 3.97851601e-04
 1.98925801e-04 0.00000000e+00]",0.9556476811408939,0,autosklearn2,autosklearn2_1200s,[1 0 0 ... 0 0 1],[0.9005534  0.07424637 0.09167471 ... 0.22057825 0.33691266 0.99259255],[0.9005534  0.07424637 0.09167471 ... 0.22057825 0.33691266 0.99259255]
5,digen35_4426,0.9861496613344862,0.9575,0.9574358296904774,0.956226181893089,[0.49465649 0.49460505 0.4946554  ... 1.         1.         1.        ],"[1.00000000e+00 9.99794239e-01 9.99794239e-01 ... 4.11522634e-04
 2.05761317e-04 0.00000000e+00]",0.9864022960661871,0.9861496613344862,0.9575,0.9574358296904774,0.956226181893089,[0.49465649 0.49460505 0.4946554  ... 1.         1.         1.        ],"[1.00000000e+00 9.99794239e-01 9.99794239e-01 ... 4.11522634e-04
 2.05761317e-04 0.00000000e+00]",0.9864022960661871,0,autosklearn2,autosklearn2_1200s,[1 1 1 ... 1 1 0],[0.98393841 0.98859201 0.98618248 ... 0.96272117 0.98324291 0.00316534],[0.98393841 0.98859201 0.98618248 ... 0.96272117 0.98324291 0.00316534]
6,digen1_6265,0.9787592365858749,0.9656,0.9662760389341909,0.9660816407020312,[0.5174     0.51735174 0.51740348 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806726e-01 9.99806726e-01 ... 3.86548125e-04
 1.93274063e-04 0.00000000e+00]",0.9873184223579186,0.9993334575775129,0.9853,0.9852977654168287,0.985209779655901,[0.9343985  0.93438616 0.93456187 ... 1.         1.         1.        ],"[1.00000000e+00 9.99798833e-01 9.99798833e-01 ... 4.02333535e-04
 2.01166767e-04 0.00000000e+00]",0.9993332260006622,0,autosklearn2,autosklearn2_1200s,[1 1 1 ... 1 1 0],[0.50407852 0.50042932 0.50392148 ... 0.5004818  0.50565834 0.49835244],[0.50407852 0.50042932 0.50392148 ... 0.5004818  0.50565834 0.49835244]
7,digen10_8322,0.9934725739936031,0.9681,0.9681558357351931,0.9679493620014066,[0.88183924 0.88181818 0.8819754  ... 1.         1.         1.        ],"[1.00000000e+00 9.99797898e-01 9.99797898e-01 ... 4.04203719e-04
 2.02101859e-04 0.00000000e+00]",0.9893104240982071,0.9975557834770963,0.9716,0.9716044880463393,0.9715772618094475,[0.88878988 0.88877005 0.88892851 ... 1.         1.         1.        ],"[1.00000000e+00 9.99799479e-01 9.99799479e-01 ... 4.01042711e-04
 2.00521356e-04 0.00000000e+00]",0.9975460168633579,0,autosklearn2,autosklearn2_1200s,[0 1 0 ... 1 1 0],[0.00847458 0.98275472 0.471743   ... 0.97861785 0.83535841 0.00663943],[0.00847458 0.98275472 0.471743   ... 0.97861785 0.83535841 0.00663943]
8,digen23_5191,0.9949460696367264,0.9578,0.9577355627062494,0.9592270531400966,[0.81374862 0.81371932 0.81384736 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806689e-01 9.99806689e-01 ... 3.86622849e-04
 1.93311425e-04 0.00000000e+00]",0.9954019616602523,0.9949460696367264,0.9578,0.9577355627062494,0.9592270531400966,[0.81374862 0.81371932 0.81384736 ... 1.         1.         1.        ],"[1.00000000e+00 9.99806689e-01 9.99806689e-01 ... 3.86622849e-04
 1.93311425e-04 0.00000000e+00]",0.9954019616602523,0,autosklearn2,autosklearn2_1200s,[0 1 0 ... 1 0 0],[0.00276374 0.98153464 0.00267557 ... 0.98807345 0.02300737 0.0179149 ],[0.00276374 0.98153464 0.00267557 ... 0.98807345 0.02300737 0.0179149 ]
9,digen22_2433,0.9923611577785245,0.9881,0.9880794092705483,0.9882073134476266,[0.96948629 0.96948039 0.9696677  ... 1.         1.         1.        ],"[1.00000000e+00 9.99800797e-01 9.99800797e-01 ... 3.98406375e-04
 1.99203187e-04 0.00000000e+00]",0.9844514855698314,0.9999629451780713,0.9957,0.9957563025210083,0.9957722937764232,[0.98493627 0.98493336 0.98512365 ... 1.         1.         1.        ],"[1.00000000e+00 9.99803922e-01 9.99803922e-01 ... 3.92156863e-04
 1.96078431e-04 0.00000000e+00]",0.9999644318560652,0,autosklearn2,autosklearn2_1200s,[1 1 1 ... 1 1 1],[0.86838607 0.95939582 0.95333969 ... 0.96587364 0.95001964 0.95337742],[0.86838607 0.95939582 0.95333969 ... 0.96587364 0.95001964 0.95337742]
10,digen24_2433,0.9972376061051595,0.979,0.9788471192632582,0.9782968168664737,[0.74244275 0.74240342 0.7425168  ... 1.         1.         1.        ],"[1.00000000e+00 9.99794366e-01 9.99794366e-01 ... 4.11268764e-04
 2.05634382e-04 0.00000000e+00]",0.996515393210303,0.9972376061051595,0.979,0.9788471192632582,0.9782968168664737,[0.74244275 0.74240342 0.7425168  ... 1.         1.         1.        ],"[1.00000000e+00 9.99794366e-01 9.99794366e-01 ... 4.11268764e-04
 2.05634382e-04 0.00000000e+00]",0.996515393210303,0,autosklearn2,autosklearn2_1200s,[1 0 1 ... 0 0 0],"[8.14813070e-01 2.78870594e-02 9.72398682e-01 ... 1.00871906e-02
 4.65543164e-04 2.45144624e-01]","[8.14813070e-01 2.78870594e-02 9.72398682e-01 ... 1.00871906e-02
 4.65543164e-04 2.45144624e-01]"
